245;528_1973_130x162Colline26_PC;1973_130x162Colline26_528.jpeg;528;1973;130X162;Colline;paul;;
246;537_1973_132X82_Chene vert;1973_132x82CheneVert537.jpeg;537;1973;132X82;Chene Vert;paul;box;
247;539_1973_130x90Luberon16;1973_130x90Luberon16_539.jpeg;539;1973;130X90;Luberon;paul;box;
248;;1973_130x90Luberon16_539.jpeg;539;1973;130X90;Luberon;;;
249;557_1973_231x175GrdeCollin.Ch;1973_231x175GrdeCollin557;557;1973;231X175;GrdeCollin;paul;chateau;Titre ?
250;;1973_100x65Colline31_580.jpeg;580;1973;100X65;Colline;;;
251;;1974_35x35Centautores8_353.jpeg;353;1974;35X35;Centautores;;;
252;038_1975_147X97_Paysage-vert-pale_Coll-S-Kaminka;1975_147x97PaysgVerPal038.jpeg;38;1975;147X97;Paysage-vert-pale;sam;;
253;;1975_114x114Femmes076as.jpeg;76;1975;114X114;Femmes;;;
254;077_1975_250X130_Enumeration_Coll-P-Coupille;1975_250x130_Enumer_077_as.jpeg;77;1975;250X130;Enumeration;;;
255;082_1975_250X130_De-ciel-et-sable_Coll-P-Coupille;1975_250x130_DeSable&deCiel_082_as.jpeg;82;1975;250X130;De-ciel-et-sable;paul;box ;
256;;1975_100x73Collin26_134.jpeg;134;1975;100X73;Colline;;;
257;;1975_100x73Images1_137.jpeg;137;1975;100X73;Images;;;
258;;1975_100x73Devalad2_138.jpeg;138;1975;100X73;Devalad;;;
259;143_1975_100x65polissonneri_PC;1975_100x65polissonneri143.jpeg;143;1975;100X65;Polissoneri;paul;;
260;;1975_100x73_30visages1_211.jpeg;211;1975;100X73;Visages;;;
261;;1975_110x120baigneuse16_214.jpeg;214;1975;110X120;baigneuse;;;
262;;1975_100x65Centautores217.jpeg;217;1975;100X65;Centautores;;;
263;226_1975_95x81Lucide_Ch;1975_95x81Lucide_226.jpeg;226;1975;95X81;Lucide;paul;chateau;
264;;1975_120x120Navire231.jpeg;231;1975;120X120;Navire;;;
265;255_1975_35x35JneFille_PC;1975_95x81LeVxCounas_225.jpeg;255;1975;35X35;Jeune Fille;paul;;Titre ?
266;;1975_35x35JneFille_255.jpeg;255;1975;35X35;Jeune fille;;;
267;;1975_35x28Remorqueur_257.jpeg;257;1975;35X28;Remorqueur;;;
